Algo,M,N,K,TotalGPUs,DataLocation,TileRows,TileColumns,dRow,dCol,TotalNodes,DecompositionTime,HostToDeviceTime,GatherTime,ExecutionTime,GFlops,PlotOrder,ALoc,BLoc,CLoc,Performance (Tflops),shape
SLATE,32768,32768,2048,2,devices,1024.0,1024.0,2.0,1.0,1.0,0.557206,,2.4599925,0.3679335,14187.8390862,2.0,,,,13.855311607617187,"Fat-thin
( M = N >> K )"
SLATE,32768,32768,2048,4,devices,1024.0,1024.0,2.0,2.0,1.0,0.769149,,2.833983,0.45125850000000006,9823.361560399999,2.0,,,,9.593126523828124,"Fat-thin
( M = N >> K )"
SLATE,32768,32768,2048,8,devices,1024.0,1024.0,4.0,2.0,2.0,0.8101879999999999,,2.5899408999999998,0.44608790000000004,9885.1610786,2.0,,,,9.653477615820313,"Fat-thin
( M = N >> K )"
SLATE,32768,32768,2048,16,devices,1024.0,1024.0,4.0,4.0,4.0,0.796189,,2.2781254,0.2754122,16040.025393400001,2.0,,,,15.664087298242189,"Fat-thin
( M = N >> K )"
SLATE,32768,32768,4096,2,devices,1024.0,1024.0,2.0,1.0,1.0,0.4730519999999999,,3.2180291000000003,0.9365976,9578.6420707,2.0,,,,9.354142647167969,"Fat-thin
( M = N >> K )"
SLATE,32768,32768,4096,4,devices,1024.0,1024.0,2.0,2.0,1.0,0.758227,,3.1214725999999997,0.8593063000000001,10241.4442488,2.0,,,,10.00141039921875,"Fat-thin
( M = N >> K )"
SLATE,32768,32768,4096,8,devices,1024.0,1024.0,4.0,2.0,2.0,0.771672,,2.4218163,0.70567,12543.0147444,2.0,,,,12.249037836328124,"Fat-thin
( M = N >> K )"
SLATE,32768,32768,4096,16,devices,1024.0,1024.0,4.0,4.0,4.0,0.889555,,2.3804833,0.5228458,16966.9107908,2.0,,,,16.569248819140626,"Fat-thin
( M = N >> K )"
SLATE,32768,32768,8192,2,devices,1024.0,1024.0,2.0,1.0,1.0,0.564825,,3.218007,1.4347891000000002,12408.8941295,2.0,,,,12.118060673339844,"Fat-thin
( M = N >> K )"
SLATE,32768,32768,8192,4,devices,1024.0,1024.0,2.0,2.0,1.0,0.779648,,3.114162,1.4182546,12412.035725,2.0,,,,12.121128637695312,"Fat-thin
( M = N >> K )"
